Town,Bdrs,median_ownership_per_bed,own_listings,ZIP_CODE,median_rent_per_bed,rental_listings,gap
"Acton, MA",3,1428.26,37,1720,1133.33,3,-294.93000000000006
"Andover, MA",3,1553.56,45,1810,1066.67,3,-486.8899999999999
"Arlington, MA",3,1635.42,6,2474,1233.33,5,-402.09000000000015
"Ashland, MA",3,1373.75,55,1721,1166.67,15,-207.07999999999993
"Attleboro, MA",3,1144.79,183,2703,1000.0,4,-144.78999999999996
"Bedford, MA",4,1598.62,16,1730,1300.0,4,-298.6199999999999
"Boston, MA",3,1351.94,35,2136,1090.67,19,-261.27
"Boston, MA : Dorchester",3,1460.97,35,2124,1050.0,8,-410.97
"Boston, MA : Jamaica Plain",3,1684.48,3,2130,1125.0,4,-559.48
"Boston, MA : Roxbury",3,1559.1,5,2119,1070.83,4,-488.27
"Brockton, MA",3,1046.67,278,2302,1000.0,3,-46.67000000000007
"Brookline, MA",3,1548.19,4,2445,1466.67,7,-81.51999999999998
"Fall River, MA",3,1000.88,189,2720,700.0,5,-300.88
"Haverhill, MA",3,1237.77,194,1830,733.33,3,-504.43999999999994
"Lowell, MA",3,1185.68,150,1852,816.67,4,-369.0100000000001
"Lynn, MA",3,1334.5,121,1904,900.0,3,-434.5
"Marlborough, MA",4,1144.79,79,1752,1098.75,3,-46.039999999999964
"Medfield, MA",3,1526.39,9,2052,1166.67,3,-359.72
"Medford, MA",3,1591.81,35,2155,1083.33,6,-508.48
"Medford, MA",4,1570.0,25,2155,1200.0,3,-370.0
"Natick, MA",3,1591.81,43,1760,1125.0,4,-466.80999999999995
"New Bedford, MA",3,1035.76,121,2745,700.0,6,-335.76
"Newton, MA",4,1561.82,3,2460,1375.0,3,-186.81999999999994
"Plymouth, MA",3,1355.11,260,2360,983.33,7,-371.77999999999986
"Saugus, MA",3,1452.25,60,1906,933.33,3,-518.92
"Somerville, MA",3,1662.67,4,2144,1250.0,10,-412.6700000000001
"Springfield, MA",3,675.97,428,1118,650.0,4,-25.970000000000027
"Watertown, MA",3,1689.93,19,2472,1316.67,8,-373.26
"Wilmington, MA",3,1559.1,84,1887,1350.0,8,-209.0999999999999
"Wilmington, MA",4,1430.91,26,1887,975.0,4,-455.9100000000001
"Woburn, MA",3,1510.03,72,1801,1100.0,5,-410.03
"Worcester, MA",3,1003.06,366,1604,733.33,9,-269.7299999999999
