Town,Bdrs,median_ownership_per_bed,own_listings,ZIP_CODE
"Abington, MA",3,1290.89,49,02351
"Abington, MA",4,1152.97,31,02351
"Abington, MA",5,942.0,4,02351
"Acton, MA",3,1428.26,37,01720
"Acton, MA",4,1480.87,54,01720
"Acton, MA",5,1406.46,6,01720
"Acushnet, MA",3,1155.69,47,02743
"Acushnet, MA",4,964.81,22,02743
"Acushnet, MA",5,914.53,4,02743
"Adams, MA",3,564.76,5,01220
"Agawam, MA",3,813.35,125,01001
"Agawam, MA",4,735.94,61,01001
"Agawam, MA",5,621.73,6,01030
"Agawam, MA",6,457.92,4,01001
"Amesbury, MA",3,1417.36,53,01913
"Amesbury, MA",4,1439.17,29,01913
"Amesbury, MA",5,1076.1,5,01913
"Amherst, MA",3,1052.66,48,01002
"Amherst, MA",4,1128.44,50,01002
"Amherst, MA",5,1026.39,10,01002
"Amherst, MA",6,816.62,3,01002
"Andover, MA",3,1553.56,45,01810
"Andover, MA",4,1504.75,53,01810
"Andover, MA",5,1661.58,13,01810
"Arlington, MA",3,1635.42,6,02474
"Arlington, MA",4,1627.24,10,02476
"Arlington, MA",6,1482.78,4,02474
"Ashburnham, MA",3,1041.22,44,01430
"Ashburnham, MA",4,1012.32,13,01430
"Ashburnham, MA",5,706.5,3,01430
"Ashby, MA",3,1112.08,23,01431
"Ashby, MA",4,1005.78,10,01431
"Ashfield, MA",3,1043.4,4,01330
"Ashland, MA",3,1373.75,55,01721
"Ashland, MA",4,1324.69,29,01721
"Ashland, MA",5,1132.36,8,01721
"Athol, MA",3,806.7,74,01331
"Athol, MA",4,629.64,10,01331
"Attleboro, MA",3,1144.79,183,02703
"Attleboro, MA",4,1095.73,76,02703
"Attleboro, MA",5,981.25,9,02703
"Attleboro, MA",6,779.0,8,02703
"Auburn, MA",3,1048.85,86,01501
"Auburn, MA",4,953.45,43,01501
"Auburn, MA",5,974.71,9,01501
"Avon, MA",3,1214.57,19,02322
"Avon, MA",4,1072.83,3,02322
"Ayer, MA",3,1264.72,31,01432
"Ayer, MA",4,1384.13,16,01432
"Barnstable, MA",3,1439.17,199,02632
"Barnstable, MA",4,1193.85,41,02632
"Barnstable, MA",5,968.17,7,02632
"Barre, MA",3,894.03,18,01005
"Barre, MA",4,764.56,8,01005
"Barre, MA",5,641.08,3,01005
"Becket, MA",3,654.17,7,01223
"Bedford, MA",3,1610.34,16,01730
"Bedford, MA",4,1598.62,16,01730
"Bedford, MA",5,1501.31,9,01730
"Belchertown, MA",3,992.15,84,01007
"Belchertown, MA",4,899.48,33,01007
"Belchertown, MA",5,719.45,3,01007
"Bellingham, MA",3,1136.61,70,02019
"Bellingham, MA",4,1308.17,41,02019
"Berkley, MA",3,1322.51,40,02779
"Berkley, MA",4,1103.91,18,02779
"Berlin, MA",3,1384.65,3,01503
"Berlin, MA",4,1624.79,9,01503
"Bernardston, MA",3,926.74,11,01337
"Beverly, MA",3,1526.39,64,01915
"Beverly, MA",4,1309.15,44,01915
"Beverly, MA",5,1259.92,10,01915
"Billerica, MA",3,1439.17,109,01821
"Billerica, MA",4,1300.16,60,01821
"Billerica, MA",5,1112.08,15,01821
"Blackstone, MA",3,975.8,30,01504
"Blackstone, MA",4,899.48,14,01504
"Blackstone, MA",5,713.04,3,01504
"Blandford, MA",3,937.64,5,01008
"Bolton, MA",3,1540.02,16,01740
"Bolton, MA",4,1402.37,20,01740
"Bolton, MA",5,1494.77,4,01740
"Boston, MA",3,1351.94,35,02136
"Boston, MA",4,1193.85,19,02136
"Boston, MA",5,1570.0,3,02131
"Boston, MA",6,945.82,5,02121
"Boston, MA : Brighton",3,1242.92,5,02135
"Boston, MA : Brighton",4,1647.68,4,02135
"Boston, MA : Brighton",5,1514.23,4,02135
"Boston, MA : Dorchester",3,1460.97,35,02124
"Boston, MA : Dorchester",4,1230.65,12,02124
"Boston, MA : Dorchester",5,1249.46,7,02122
"Boston, MA : Dorchester",6,1188.4,5,02121
"Boston, MA : East Boston",3,1590.72,10,02128
"Boston, MA : Hyde Park",3,1423.9,34,02136
"Boston, MA : Hyde Park",4,1214.95,19,02136
"Boston, MA : Hyde Park",6,953.99,3,02136
"Boston, MA : Jamaica Plain",3,1684.48,3,02130
"Boston, MA : Mattapan",3,1275.62,9,02126
"Boston, MA : Mattapan",4,1063.02,5,02126
"Boston, MA : Roslindale",3,1633.24,19,02131
"Boston, MA : Roslindale",4,1390.1,9,02131
"Boston, MA : Roslindale",5,1282.13,3,02131
"Boston, MA : Roxbury",3,1559.1,5,02119
"Boston, MA : West Roxbury",3,1597.26,34,02132
"Boston, MA : West Roxbury",4,1369.66,22,02132
