Town,median_cost_per_bed,median_ownership_per_bed,listings,ZIP_CODE
"Abington, MA",192333.33,1258.18,85,02351
"Acton, MA",223333.33,1460.97,97,01720
"Acushnet, MA",171666.67,1122.99,74,02743
"Adams, MA",83150.0,543.94,6,01220
"Agawam, MA",120000.0,785.0,198,01001
"Amesbury, MA",209875.0,1372.93,92,01913
"Amherst, MA",161000.0,1053.21,111,01002
"Andover, MA",236868.33,1549.51,114,01810
"Arlington, MA",247500.0,1619.06,22,02474
"Ashburnham, MA",156650.0,1024.75,62,01430
"Ashby, MA",161625.0,1057.3,33,01431
"Ashfield, MA",152333.33,996.51,5,01330
"Ashland, MA",205833.33,1346.49,94,01721
"Athol, MA",120612.5,789.01,86,01331
"Attleboro, MA",170000.0,1112.08,279,02703
"Auburn, MA",157333.33,1029.22,140,01501
"Avon, MA",185333.33,1212.39,22,02322
"Ayer, MA",195000.0,1275.62,49,01432
"Barnstable, MA",213333.33,1395.56,249,02632
"Barre, MA",128341.67,839.57,30,01005
"Becket, MA",100000.0,654.17,7,01223
"Bedford, MA",242000.0,1583.08,43,01730
"Belchertown, MA",145000.0,948.54,121,01007
"Bellingham, MA",181666.67,1188.4,115,02019
"Belmont, MA",251458.33,1644.96,8,02478
"Berkley, MA",194375.0,1271.54,60,02779
"Berlin, MA",241428.57,1579.35,13,01503
"Bernardston, MA",141666.67,926.74,13,01337
"Beverly, MA",218750.0,1430.99,123,01915
"Billerica, MA",213333.33,1395.56,191,01821
"Blackstone, MA",146666.67,959.44,49,01504
"Blandford, MA",143333.33,937.64,5,01008
"Bolton, MA",226000.0,1478.42,40,01740
"Boston, MA",196208.33,1283.53,62,02136
"Boston, MA : Brighton",228574.5,1495.26,14,02135
"Boston, MA : Dorchester",209404.76,1369.86,60,02124
"Boston, MA : East Boston",239583.33,1567.27,14,02128
"Boston, MA : Hyde Park",203750.0,1332.86,59,02136
"Boston, MA : Jamaica Plain",255416.67,1670.85,4,02130
"Boston, MA : Mattapan",186666.67,1221.11,17,02126
"Boston, MA : Roslindale",233333.33,1526.39,33,02131
"Boston, MA : Roxbury",176666.67,1155.69,7,02119
"Boston, MA : South Boston",184047.62,1203.98,4,02127
"Boston, MA : West Roxbury",230000.0,1504.58,66,02132
"Bourne, MA",191666.67,1253.82,129,02532
"Boxborough, MA",226666.67,1482.78,25,01719
"Boxford, MA",221250.0,1447.34,33,01921
"Boylston, MA",188833.33,1235.28,28,01505
"Braintree, MA",210250.0,1375.39,136,02184
"Brewster, MA",225416.67,1474.6,44,02631
"Bridgewater, MA",197666.67,1293.07,130,02324
"Brimfield, MA",152666.67,998.69,29,01010
"Brockton, MA",154250.0,1009.05,429,02302
"Brookfield, MA",147154.17,962.63,18,01506
"Brookline, MA",236666.67,1548.19,4,02445
"Buckland, MA",149833.33,980.16,8,01370
"Burlington, MA",228333.33,1493.68,94,01803
"Cambridge, MA",258333.33,1689.93,3,02139
"Canton, MA",224875.0,1471.06,88,02021
"Carlisle, MA",220000.0,1439.17,9,01741
"Carver, MA",183833.33,1202.58,79,02330
"Charlemont, MA",134833.33,882.03,6,01339
"Charlton, MA",162125.0,1060.57,112,01507
"Chatham, MA",216666.67,1417.36,11,02633
"Chelmsford, MA",210000.0,1373.75,211,01824
"Chelsea, MA",194583.33,1272.9,26,02150
"Cheshire, MA",171666.67,1122.99,3,01225
"Chester, MA",120000.0,785.0,9,01011
"Chesterfield, MA",147483.33,964.79,10,01012
"Chicopee, MA",102900.0,673.14,244,01020
"Clinton, MA",149983.33,981.14,52,01510
"Cohasset, MA",200000.0,1308.33,15,02025
"Colrain, MA",145000.0,948.54,3,01340
"Concord, MA",237500.0,1553.65,13,01742
"Conway, MA",162000.0,1059.75,9,01341
"Cummington, MA",133333.33,872.22,7,01026
"Dalton, MA",96666.67,632.36,21,01226
"Danvers, MA",212500.0,1390.1,107,01923
"Dartmouth, MA",182291.67,1192.49,128,02747
"Dedham, MA",220000.0,1439.17,94,02026
"Deerfield, MA",136666.67,894.03,23,01373
"Dennis, MA",203125.0,1328.78,94,02639
"Devens, MA",174166.67,1139.34,4,01434
"Dighton, MA",189983.33,1242.81,62,02715
"Douglas, MA",175000.0,1144.79,71,01516
"Dover, MA",246250.0,1610.89,5,02030
"Dracut, MA",181666.67,1188.4,175,01826
"Dudley, MA",140833.33,921.28,83,01571
"Dunstable, MA",225833.33,1477.33,18,01827
"Duxbury, MA",232125.0,1518.48,48,02332
"East Bridgewater, MA",196941.67,1288.33,70,02333
"East Brookfield, MA",141500.0,925.65,14,01515
"East Longmeadow, MA",125000.0,817.71,125,01028
"Eastham, MA",235291.67,1539.2,28,02642
"Easthampton, MA",147145.83,962.58,84,01027
"Easton, MA",211125.0,1381.11,112,02356
"Erving, MA",133316.67,872.11,8,01344
"Essex, MA",216666.67,1417.36,3,01929
"Everett, MA",210000.0,1373.75,33,02149
"Fairhaven, MA",170625.0,1116.17,56,02719
"Fall River, MA",139666.67,913.65,255,02720
"Falmouth, MA",200000.0,1308.33,197,02536
"Fitchburg, MA",138333.33,904.93,157,01420
"Foxboro, MA",206500.0,1350.85,79,02035
"Framingham, MA",207500.0,1357.4,362,01701
"Franklin, MA",211737.5,1385.12,184,02038
"Freetown, MA",194000.0,1269.08,59,02702
